OID_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
86,0,2,28,128.002662749319398,43,-121.800571617999992,36.831556904000024,-121.800105684999949,36.832647843000075,18.948217484162967
87,0,3,4,11.991921489367961,1,-121.800414957999976,36.831350835000080,-121.800310932999992,36.831282392000048,129.299801404575533
88,0,3,1,12.428408609193596,2,-121.800414957999976,36.831350835000080,-121.800523313999975,36.831421231000036,-51.055061512179101
89,0,3,5,15.122810120540164,3,-121.800414957999976,36.831350835000080,-121.800329361999957,36.831468461000043,30.326113110875315
90,0,3,6,24.725153057593285,4,-121.800414957999976,36.831350835000080,-121.800281565999967,36.831546135000053,28.768676913626326
91,0,3,12,25.325603053624171,5,-121.800414957999976,36.831350835000080,-121.800133798999980,36.831382438000048,82.039930991790698
92,0,3,2,26.800604902903245,6,-121.800414957999976,36.831350835000080,-121.800571617999992,36.831556904000024,-31.429797102901556
93,0,3,13,31.380408130901703,7,-121.800414957999976,36.831350835000080,-121.800063438999985,36.831340214000079,92.152452117992681
94,0,3,11,35.351355612213666,8,-121.800414957999976,36.831350835000080,-121.800055386999986,36.831484738000029,65.143430529939380
95,0,3,7,36.385402387181344,9,-121.800414957999976,36.831350835000080,-121.800367512999969,36.831676481000045,6.679924458311921
96,0,3,14,45.605638115623655,10,-121.800414957999976,36.831350835000080,-121.799907325999982,36.831399499000042,83.199121871339514
97,0,3,8,46.292506786243756,11,-121.800414957999976,36.831350835000080,-121.800395661999971,36.831767692000028,2.130983997416913
98,0,3,15,46.533237813538264,12,-121.800414957999976,36.831350835000080,-121.799910779999948,36.831458383000040,75.138244482854830
99,0,3,10,50.379426018358743,13,-121.800414957999976,36.831350835000080,-121.799892975999967,36.831524120000040,67.560343142437844
100,0,3,9,56.747651154061678,14,-121.800414957999976,36.831350835000080,-121.800213659999940,36.831835915000056,18.447795428873942
101,0,3,16,61.409946830923190,15,-121.800414957999976,36.831350835000080,-121.799732377999987,36.831422590000045,82.549322585664825
102,0,3,18,64.453810273150452,16,-121.800414957999976,36.831350835000080,-121.800016068999980,36.831835098000056,33.509993145924795
103,0,3,22,72.448024908699566,17,-121.800414957999976,36.831350835000080,-121.800303234999944,36.831997463000050,7.907107331644786
104,0,3,17,74.194734138952015,18,-121.800414957999976,36.831350835000080,-121.799830493999991,36.831826499000044,44.646013383309281
105,0,3,21,75.021008813824693,19,-121.800414957999976,36.831350835000080,-121.800132053999960,36.831987456000036,19.657683940333900
106,0,3,19,79.721186989761307,20,-121.800414957999976,36.831350835000080,-121.799908506999941,36.831942713000046,34.521361207411061
107,0,3,23,90.144553561030236,21,-121.800414957999976,36.831350835000080,-121.800428389999979,36.832163063000053,-0.761614514438737
108,0,3,20,92.988457141642968,22,-121.800414957999976,36.831350835000080,-121.799866302999988,36.832063299000026,31.758747283844713
109,0,3,40,94.805098370830208,23,-121.800414957999976,36.831350835000080,-121.800783730999967,36.832152050000047,-20.303765595963441
